Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/TelegramBot,9389,9389,0,"100,00"
/TelegramBot/.idea,266,266,0,"100,00"
/TelegramBot/.idea/copyright,3,3,0,"100,00"
/TelegramBot/.idea/inspectionProfiles,56,56,0,"100,00"
/TelegramBot/.idea/jsLinters,71,71,0,"100,00"
/TelegramBot/.idea/libraries,546,546,0,"100,00"
/TelegramBot/.settings,20,20,0,"100,00"
/TelegramBot/src,5,5,0,"100,00"
/TelegramBot/src/main,5,5,0,"100,00"
/TelegramBot/src/main/java,5,5,0,"100,00"
/TelegramBot/src/main/java/at/gualdi,98,98,0,"100,00"
/TelegramBot/src/main/java/at/gualdi/arbeiten,230,230,0,"100,00"
/TelegramBot/src/main/java/at/gualdi/database,126,126,0,"100,00"
/TelegramBot/src/main/java/at/gualdi/objects,202,202,0,"100,00"
/TelegramBot/src/main/java/at/gualdi/service,432,432,0,"100,00"
/TelegramBot/src/main/java/at/gualdi/test,24,24,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots,191,191,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/api,11,11,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/api/interfaces,32,32,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/api/methods,1439,1439,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/api/objects,3534,3534,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/bots,526,526,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/updateshandlers,35,35,0,"100,00"
/TelegramBot/src/main/java/org/telegram/telegrambots/updatesreceivers,250,250,0,"100,00"
/TelegramBot/target/classes,5,5,0,"100,00"
/TelegramBot/target/classes/META-INF,26,26,0,"100,00"
/TelegramBot/target/classes/META-INF/maven/org.telegram/telegrambots,163,163,0,"100,00"
/TelegramBot/target/classes/at/gualdi,68,68,0,"100,00"
/TelegramBot/target/classes/at/gualdi/arbeiten,96,96,0,"100,00"
/TelegramBot/target/classes/at/gualdi/database,43,43,0,"100,00"
/TelegramBot/target/classes/at/gualdi/objects,69,69,0,"100,00"
/TelegramBot/target/classes/at/gualdi/service,151,151,0,"100,00"
/TelegramBot/target/classes/at/gualdi/test,13,13,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots,103,103,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/api,7,7,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/api/interfaces,4,4,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/api/methods,411,411,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/api/objects,1064,1064,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/bots,149,149,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/updateshandlers,4,4,0,"100,00"
/TelegramBot/target/classes/org/telegram/telegrambots/updatesreceivers,164,164,0,"100,00"
